safe_idx,click_predictions_mean,click_predictions_std,click,opt_prices,payprice,slotprice,payprice_predictions_mean,payprice_predictions_std
6,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
13,0.9999999999016185,1.000001151592547e-05,1,80.0,80,80,79.99999999218583,1.0000005964815199e-05
21,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
25,0.9999999999,1.0000000413701846e-05,1,75.0,75,0,74.99999999253143,1.0000000413701846e-05
30,0.9999999999,1.0000000413701846e-05,1,15.0,15,5,14.999999998677422,1.0000005964815199e-05
40,0.9999999999,1.0000000413701846e-05,1,20.0,20,5,20.000000001902684,1.0000000413701846e-05
42,0.9999999999,1.0000000413701846e-05,1,150.0,150,5,149.99999998452034,9.999989311465896e-06
43,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
44,0.999999999547843,1.0000005964815199e-05,1,70.0,70,70,69.99999999659363,1.0000000413701846e-05
50,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
65,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
69,0.9999999999,1.0000000413701846e-05,1,50.0,50,50,49.999999994999996,1.0000000413701846e-05
71,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
73,0.9999999999,1.0000000413701846e-05,1,59.0,59,59,58.999999994099994,1.0000000413701846e-05
74,0.9999999999029979,1.0000005964815199e-05,1,70.0,70,70,69.99999999305656,1.0000005964815199e-05
81,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
83,3.5470228117862965e-10,1.000001706703266e-05,0,70.0,70,70,69.99999999977051,1.0000000413701846e-05
86,0.9999999999,1.0000000413701846e-05,1,143.0,143,5,142.99999998570001,1.0000000413701846e-05
111,7.562838986961162e-12,5.000011309068384e-06,0,70.0,70,70,69.99999999917081,5.000000206850923e-06
129,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
140,7.562838986961162e-12,5.000011309068384e-06,0,70.0,70,70,69.99999999917081,5.000000206850923e-06
170,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
172,1.9702835793920997e-11,1.000001151592547e-05,0,70.0,70,70,69.99999999554338,9.999994862585412e-06
241,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
245,7.562838986961162e-12,5.000011309068384e-06,0,70.0,70,70,69.99999999917081,5.000000206850923e-06
257,3.494313022218027e-22,7.071068104396856e-06,0,64.0,64,0,63.9999999968,7.071068104396856e-06
283,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
299,7.562838986961162e-12,5.000011309068384e-06,0,70.0,70,70,69.99999999917081,5.000000206850923e-06
301,4.811151477213116e-13,2.886751465373565e-06,0,70.0,70,70,70.0000000003304,2.886751465373565e-06
306,3.494313022218027e-22,7.071068104396856e-06,0,64.0,64,0,63.9999999968,7.071068104396856e-06
117,0.0,0.9999999893988607,1,1.55908358253415,174,5,-2.6502217523996423,0.9846033665232363
122,0.0,0.9999997254930013,1,1.846223173871346,44,5,2.0210956665957793,0.999875128141752
148,1.0,0.6835687859591041,1,208.9137310634893,70,70,58.14206561342129,0.5701497615078924
153,1.0,1.0000005964815199e-05,1,284.3136700410854,70,70,69.99999999659363,1.0000000413701846e-05
159,1.0,0.9998805069180484,1,12.140762066838422,63,0,10.925604093951101,0.9413202060112487
177,0.0,1.0,1,5.285501986155327,201,0,4.029164754153745,0.9985430076823911
206,0.0,0.9999999893988607,1,0.33775975071433145,174,5,-2.6502217523996423,0.9846033665232363
216,1.0,0.9987728785307293,1,7.4615525795992514,82,5,5.072135062557113,0.9976929982764644
250,0.0,0.9999999999999994,1,-0.13064320111786504,50,50,1.1797703393850575e-27,1.0
251,0.0,1.0,1,13.04371160244336,220,0,11.522504550881397,0.9441721741928703
262,1.0,1.0000000413701846e-05,1,284.9264767622739,143,5,142.99999998570001,1.0000000413701846e-05
271,1.0,0.7471265188855382,1,157.14151331425657,70,70,50.96649351610945,0.5565887315719873
276,0.0,1.0,1,0.7736958183774317,171,162,3.166746502429834e-154,1.0
309,0.0,2.886751465373565e-06,0,12.133413849868644,70,70,70.0000000003304,2.886751465373565e-06
328,0.0,2.886751465373565e-06,0,12.480363255741532,70,70,70.0000000003304,2.886751465373565e-06
333,1.0,0.27855518673573687,1,244.08494044351124,70,70,69.76242062892769,0.1210757671489616
