safe_idx,click_predictions_mean,click_predictions_std,click,opt_prices,payprice,slotprice,payprice_predictions_mean,payprice_predictions_std
6,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
13,1,1.00E-05,1,80,80,80,79.99999999,1.00E-05
21,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
25,1,1.00E-05,1,75,75,0,74.99999999,1.00E-05
30,1,1.00E-05,1,15,15,5,15,1.00E-05
40,1,1.00E-05,1,20,20,5,20,1.00E-05
42,1,1.00E-05,1,150,150,5,150,1.00E-05
43,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
44,1,1.00E-05,1,70,70,70,70,1.00E-05
50,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
65,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
69,1,1.00E-05,1,50,50,50,49.99999999,1.00E-05
71,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
73,1,1.00E-05,1,59,59,59,58.99999999,1.00E-05
74,1,1.00E-05,1,70,70,70,69.99999999,1.00E-05
81,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
83,3.55E-10,1.00E-05,0,70,70,70,70,1.00E-05
86,1,1.00E-05,1,143,143,5,143,1.00E-05
111,7.56E-12,5.00E-06,0,70,70,70,70,5.00E-06
129,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
140,7.56E-12,5.00E-06,0,70,70,70,70,5.00E-06
170,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
172,1.97E-11,1.00E-05,0,70,70,70,70,1.00E-05
241,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
245,7.56E-12,5.00E-06,0,70,70,70,70,5.00E-06
257,3.49E-22,7.07E-06,0,64,64,0,64,7.07E-06
283,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
299,7.56E-12,5.00E-06,0,70,70,70,70,5.00E-06
301,4.81E-13,2.89E-06,0,70,70,70,70,2.89E-06
306,3.49E-22,7.07E-06,0,64,64,0,64,7.07E-06
117,0,0.999999989,1,0.08264645,174,5,-2.650221752,0.984603367
122,0,0.999999725,1,0.271365534,44,5,2.021095667,0.999875128
148,1,0.683568786,1,175.3341187,70,70,58.14206561,0.570149762
153,1,1.00E-05,1,237.4092768,70,70,70,1.00E-05
159,1,0.999880507,1,6.485401035,63,0,10.92560409,0.941320206
177,0,1,1,-0.139353148,201,0,4.029164754,0.998543008
206,0,0.999999989,1,0.306313139,174,5,-2.650221752,0.984603367
216,1,0.998772879,1,0.097463357,82,5,5.072135063,0.997692998
250,0,1,1,-0.351970267,50,50,1.18E-27,1
251,0,1,1,0.785477845,220,0,11.52250455,0.944172174
262,1,1.00E-05,1,235.5211494,143,5,143,1.00E-05
271,1,0.747126519,1,128.9364511,70,70,50.96649352,0.556588732
276,0,1,1,-0.195765604,171,162,3.17E-154,1
309,0,2.89E-06,0,1.986378397,70,70,70,2.89E-06
328,0,2.89E-06,0,4.260591349,70,70,70,2.89E-06
333,1,0.278555187,1,202.0202843,70,70,69.76242063,0.121075767
334,0,1,1,1.694569762,160,70,66.48848751,0.143612371
338,0,1.00E-05,0,1.991713982,70,70,70,1.00E-05
356,1,0.331859856,0,97.97064152,70,70,69.80377699,0.220781403
360,0,1.00E-05,0,2.679260887,70,70,70,1.00E-05
362,0,0.999999989,1,-0.443995302,174,5,-2.650221752,0.984603367
370,0,0.99999997,1,-0.614568296,41,0,-0.009001409,0.999999878
373,0,1,1,-0.178120999,50,20,9.24E-35,1
376,0,1,1,2.162203896,121,0,54.31778246,0.528849962
378,0,5.00E-06,0,4.358372805,70,70,70,5.00E-06
380,0,2.89E-06,0,3.67601905,70,70,70,2.89E-06
383,1,0.903457597,1,102.6272269,70,70,36.60787604,0.87085927
389,0,1,1,0.636108454,106,70,2.34E-09,1
394,0,2.89E-06,0,3.610254893,70,70,70,2.89E-06
401,0,2.89E-06,0,3.191453179,70,70,70,2.89E-06
